#{"t_start": 1774417216.9971836, "env_id": "None"}
r,l,t
9.359097,82,2724.222965
9.875365,74,2727.735819
9.373102,59,2730.817473
10.793646,40,2732.942832
10.434546,32,2734.585514
8.066449,100,2739.853783
9.632618,76,2743.839313
8.428824,79,2747.955818
10.395345,66,2751.134428
10.243415,50,2753.740303
10.415816,54,2756.652858
10.499441,26,2757.931935
9.74134,45,2760.476927
10.790025,22,2761.557039
10.847442,57,2764.3002
10.759843,56,2766.950945
4.806949,112,2772.322665
10.498284,47,2774.637718
9.075413,97,2779.719558
9.950655,48,2782.173439
10.292268,56,2785.062825
9.749955,57,2788.095684
9.291781,82,2792.522602
10.69664,53,2795.043678
10.647003,63,2798.343787
10.423853,50,2800.600626
10.125436,42,2802.619129
9.35505,77,2806.685105
8.743267,77,2810.494766
10.814826,44,2812.746206
10.008823,39,2814.76985
9.642215,61,2820.594744
10.514421,41,2822.329256
10.487839,28,2823.647902
10.043396,72,2827.344716
9.834983,37,2829.178744
7.979554,79,2832.9833
10.242901,74,2836.775835
10.064661,65,2839.909903
9.800671,33,2841.688443
10.628824,62,2844.826864
9.446403,78,2848.846947
9.694548,69,2852.351554
10.708232,66,2855.547783
9.875057,60,2858.451193
10.673,37,2860.356258
10.720218,50,2863.038984
10.726708,41,2865.192736
10.470101,58,2868.13628
10.274383,37,2870.115743
9.228437,59,2873.069181
10.222536,39,2875.070443
10.228574,82,2879.050544
9.183518,61,2882.032006
9.631285,78,2885.649518
10.528281,36,2887.341815
10.288792,35,2889.086007
10.346073,69,2892.373508
10.260248,63,2895.434017
10.323495,64,2898.463472
10.642773,48,2900.415512
6.600812,65,2903.25173
10.514535,57,2905.834747
10.574844,59,2908.827787
10.277172,51,2911.319611
10.300172,35,2913.005975
10.833427,34,2914.535145
10.499633,63,2917.625418
10.263653,37,2919.494638
10.782798,43,2924.132636
9.213886,64,2927.40713
10.465199,52,2930.137514
8.341685,77,2933.285989
10.507141,37,2934.893777
10.17747,68,2938.16832
9.387444,62,2941.233694
10.382002,56,2943.707433
10.589436,43,2945.764904
9.407854,93,2950.317871
9.494818,54,2952.970827
10.039102,33,2954.722175
8.360288,110,2959.763407
9.930261,47,2962.142935
10.787671,65,2965.244003
9.83416,58,2967.929895
10.228171,65,2971.090927
10.16433,32,2972.634049
5.381005,88,2976.888616
10.626177,39,2978.808468
10.540148,50,2981.196328
4.652126,90,2985.758764
10.335509,53,2988.531437
11.027666,43,2990.788021
8.962611,77,2994.563403
10.10163,49,2997.001269
10.187837,48,2999.2365
10.429296,38,3000.979491
10.585642,40,3002.774282
10.491498,50,3005.12112
9.645107,72,3008.568253
10.45409,74,3011.933443
10.287135,60,3014.862588
10.341004,46,3017.140851
10.565107,39,3018.862002
9.838498,49,3021.303521
9.699484,57,3026.544246
9.859042,68,3029.726487
10.566315,53,3032.014553
9.873012,62,3034.983405
9.631955,46,3037.389906
3.311402,80,3041.267512
9.781308,56,3044.168962
9.404577,54,3047.049124
10.527721,62,3050.178682
10.358296,72,3053.758711
10.38723,25,3054.893683
10.542451,52,3057.518288
10.498077,36,3059.341231
10.494591,32,3061.050515
8.445683,61,3063.924632
10.538097,29,3065.260198
10.409677,69,3068.684597
10.687353,37,3070.520491
10.228387,69,3073.800214
10.424845,40,3075.799663
10.942449,55,3078.600994
10.774792,44,3080.864775
9.598407,88,3085.218999
10.153109,37,3086.875803
10.534793,37,3088.797496
10.243944,71,3092.291533
10.180005,54,3095.051396
10.844429,20,3095.930809
10.452917,28,3097.30243
10.746984,23,3098.500071
10.088938,34,3100.047019
9.40771,54,3102.463605
8.807965,85,3106.713429
10.842458,37,3108.608574
10.54354,36,3110.417701
10.328726,75,3114.242229
9.258064,80,3118.171864
10.432965,26,3119.484416
9.967283,63,3122.737844
11.000124,35,3124.579759
11.068488,45,3129.149081
9.948938,54,3131.661477
9.871674,40,3133.758226
10.425633,28,3135.232099
10.076212,42,3137.371017
9.96469,43,3139.54789
10.139513,41,3141.673702
10.669278,49,3144.028518
10.379323,48,3146.517627
10.318364,42,3148.706816
9.644277,57,3151.747419
9.151294,79,3155.835128
10.435136,20,3156.900472
11.254525,57,3159.84518
8.645094,69,3163.191073
4.929811,83,3167.415335
10.024726,40,3169.50087
9.551604,51,3172.200014
10.998847,45,3174.65642
9.73117,39,3176.640644
9.013735,101,3181.531876
10.904601,38,3183.295623
10.430497,41,3185.464305
10.641959,60,3188.513812
10.456113,39,3190.436094
10.801566,32,3192.146722
10.587423,24,3193.443455
10.202972,59,3196.328345
10.74632,43,3198.502757
10.087817,52,3201.192955
10.952067,46,3203.589361
10.1098,44,3206.020538
10.260854,36,3207.996668
10.73469,34,3209.742105
10.518655,43,3211.954891
8.737664,67,3215.663538
9.966474,55,3218.42565
10.678805,38,3220.421979
10.641225,60,3223.595505
10.416526,36,3225.476255
10.54775,56,3228.47408
10.524671,49,3230.78678
10.17194,33,3232.484473
10.603987,75,3239.323858
10.912539,42,3241.560797
10.59502,48,3244.02528
10.898995,39,3245.97678
10.722962,58,3249.164923
10.7252,33,3250.810596
10.443212,56,3253.867375
10.425472,45,3256.283999
10.565452,33,3258.024179
10.671586,25,3259.489891
10.361314,54,3262.049024
10.498762,62,3265.262162
10.152093,46,3267.470432
9.63177,43,3269.56305
10.8148,39,3271.50629
10.471716,56,3274.452071
10.392267,39,3276.488373
10.443071,33,3278.333159
10.277654,63,3281.735256
10.233484,34,3283.565744
10.068546,76,3287.443388
11.103358,46,3289.859054
10.700501,24,3291.067204
10.070761,48,3293.485165
7.372631,48,3295.660935
10.59304,37,3297.301747
10.566648,34,3298.97033
10.830666,40,3301.078887
10.742392,39,3302.865112
10.225667,31,3304.412285
10.021824,53,3307.175237
8.771613,63,3310.450848
8.70715,60,3313.505196
10.803153,41,3315.47001
9.85997,48,3317.873782
10.344576,44,3320.181313
7.432249,132,3326.576193
10.410433,49,3328.994424
10.732546,27,3330.322794
10.174508,38,3332.336796
10.316328,70,3335.702969
10.818242,57,3338.501842
10.258328,42,3343.138811
10.738638,56,3346.019799
10.41497,53,3348.660583
10.385398,32,3350.336766
10.587977,43,3352.608068
10.357197,56,3355.548843
10.232523,53,3358.283392
10.356615,49,3360.604388
10.242673,40,3362.164065
10.652459,53,3364.418017
10.251112,29,3365.755603
10.807509,27,3367.256503
9.52819,61,3370.103437
10.530714,27,3371.404969
10.845735,37,3373.196922
9.696719,52,3375.567324
10.250492,25,3376.750529
10.020271,50,3379.212195
9.578011,52,3381.595659
10.288786,36,3383.439864
10.477506,52,3385.692482
10.247523,61,3388.552443
10.807625,57,3391.25266
9.497831,49,3393.588336
10.478663,41,3395.326555
10.057158,78,3398.824485
10.883318,41,3400.933653
10.072619,64,3404.165938
10.081185,57,3406.779192
11.208836,53,3409.547711
10.456406,43,3411.720073
10.617203,34,3413.373187
10.674735,43,3415.501424
10.38061,31,3417.163003
9.987041,47,3419.359027
10.966716,39,3421.142546
9.431532,61,3424.338861
10.686329,34,3425.994202
9.456158,68,3429.063255
8.962799,62,3432.140494
10.687273,42,3434.248159
9.292401,78,3437.909457
10.717319,55,3440.630249
10.891322,18,3444.286068
10.085963,36,3445.750634
9.955259,62,3448.714495
10.301144,29,3450.159204
10.816304,42,3452.055946
10.685511,46,3454.355664
11.485573,41,3456.327335
8.415015,62,3459.286123
10.881241,37,3460.830483
10.565918,33,3462.127193
10.112171,62,3465.131812
10.608064,47,3467.447095
9.298859,39,3469.497356
10.259792,31,3471.09844
10.352517,47,3473.536965
10.198071,62,3476.682677
7.819909,58,3479.344131
9.839848,40,3481.226795
11.12461,59,3483.911425
10.542253,25,3484.959823
10.399618,34,3486.568989
8.584335,53,3489.317953
10.558304,31,3490.848206
10.468082,48,3493.110925
10.403653,49,3495.364148
10.346356,47,3497.723982
11.009728,35,3499.430494
8.965085,38,3501.394597
9.993639,38,3503.222812
10.88566,32,3504.730882
9.855219,67,3507.712683
10.455319,59,3510.669579
9.969834,44,3513.003257
10.561616,33,3514.777728
10.592457,48,3517.292885
10.566741,41,3519.735655
10.097073,36,3521.592296
7.229087,59,3524.570848
10.759912,36,3526.356081
10.499738,54,3529.005038
