#{"t_start": 1774404192.771334, "env_id": "None"}
r,l,t
7.3,145,2371.041979
-3.95,188,2376.568028
-3.97,190,2381.81143
-3.87,162,2386.288858
-3.61,154,2390.229413
-3.24,135,2394.065336
-3.42,171,2398.975515
-2.31,105,2401.781555
-3.63,129,2405.304435
-4.05,183,2410.326447
-4.14,180,2415.489308
-3.1,157,2421.809276
-4.22,158,2426.146217
-2.09,128,2429.873126
-4.24,181,2434.94569
8.42,69,2436.988792
-2.39,122,2440.482513
-2.35,127,2443.853007
-3.95,179,2448.699111
-2.27,119,2451.850715
-2.58,114,2455.031152
-1.97,134,2458.677774
-4.09,202,2463.923948
-4.33,208,2469.688
-3.98,200,2477.122527
-7.52,194,2481.777595
-4.38,204,2486.990054
-3.31,142,2490.959475
-3.7,154,2495.133018
-3.76,190,2500.093381
5.64,176,2504.600172
5.09,99,2507.429549
7.13,117,2510.397477
-3.65,176,2514.972987
-2.63,119,2517.768466
7.18,94,2520.41261
-4.89,129,2523.410065
-4.26,174,2527.262776
8.49,71,2531.283897
8.4,89,2533.431047
-4.71,192,2538.327105
6.69,125,2541.604443
-2.7,117,2544.81157
8.17,76,2546.720912
-4.26,177,2551.507222
-6.64,196,2557.045861
-3.01,121,2560.23737
-5.36,197,2565.476215
-3.4,118,2568.759491
-4.09,157,2572.903828
-1.95,105,2575.720884
-2.63,119,2578.377356
7.32,116,2581.466484
6.03,164,2587.795777
-4.09,175,2592.174357
-6.12,192,2596.834531
-5.96,191,2601.840034
-3.16,115,2604.947157
-4.76,149,2608.72065
-5.04,180,2613.428884
-5.33,200,2618.669749
-3.39,150,2622.234244
-5.91,186,2626.99509
-2.87,107,2629.860028
-3.04,142,2633.518553
-3.26,155,2637.302117
-3.58,142,2643.117147
-5.35,193,2647.84756
8.22,107,2650.64497
-2.83,148,2654.327211
-5.21,191,2658.997221
-3.25,154,2662.890442
-3.2,131,2666.171525
-5.26,202,2671.239134
-4.14,171,2675.371976
-2.6,110,2678.294629
-2.82,120,2681.434798
-1.73,119,2684.382323
-1.99,118,2687.452613
-3.55,184,2692.359727
6.01,157,2698.590058
-4.25,161,2702.750143
-3.8,146,2706.451729
-3.97,169,2711.063486
-2.54,110,2714.304722
-5.85,207,2720.102534
7.65,83,2722.548317
-3.01,112,2725.646981
-3.93,150,2729.763603
-3.93,159,2734.324788
6.56,114,2737.32764
-2.86,151,2741.521661
5.11,184,2746.582257
7.93,82,2748.718189
-2.72,110,2754.046545
-3.22,151,2758.417116
7.43,105,2761.455535
-5.52,192,2766.932474
4.1,183,2772.138686
-5.32,208,2778.116541
8.62,49,2779.48769
5.76,146,2783.336406
6.59,126,2786.738704
7.11,101,2789.73734
-3.9,165,2794.463696
-3.92,131,2797.94547
-4.69,199,2803.629669
-4.6,145,2807.715597
-3.49,142,2813.99431
-2.67,114,2816.907215
-2.78,134,2820.820766
-5.08,193,2826.351406
7.28,123,2829.816386
-2.99,137,2833.437782
7.42,97,2835.921334
-2.87,152,2840.257132
8.36,75,2842.452552
-3.8,140,2846.094288
-3.62,50,2847.532414
9.13,61,2849.180991
-3.33,135,2852.704315
-4.14,162,2857.108116
-4.33,190,2862.427236
-4.17,174,2867.288478
7.44,104,2872.566767
6.92,138,2876.40659
-4.89,183,2881.28
6.86,126,2884.693139
-5.2,187,2889.823015
-4.47,195,2895.051775
6.94,109,2898.004405
6.34,151,2902.121656
8.05,88,2904.664467
-3.9,147,2908.693975
-3.95,179,2913.861618
7.46,102,2916.673596
-3.34,154,2921.278497
6.21,128,2924.954717
5.47,184,2932.151458
-3.07,118,2935.346869
8.01,83,2937.693836
8.85,71,2939.740454
8.43,68,2941.45116
-2.6,134,2944.950215
7.14,125,2948.163185
6.12,155,2952.250159
8.03,90,2954.494174
-3.18,147,2958.099269
-2.97,108,2960.908025
7.96,79,2962.919462
-3.88,136,2966.343473
8.57,72,2968.476145
8.23,97,2971.005607
-2.55,111,2973.967592
8.37,65,2975.726747
-4.42,172,2980.39074
-4.93,196,2987.97456
6.62,123,2990.883674
8.0,84,2993.049453
7.57,100,2995.723246
-2.82,138,2999.304797
-3.63,174,3003.778517
7.76,117,3006.811766
8.89,58,3008.478755
7.93,109,3011.285535
-3.3,141,3015.34439
7.67,117,3018.41394
6.55,121,3021.303592
-3.43,133,3024.567396
-3.86,146,3028.293314
7.91,102,3030.875974
8.55,65,3032.616723
5.27,126,3036.101894
6.88,130,3039.736436
-2.04,105,3044.843935
8.03,81,3046.895603
6.11,129,3050.321943
6.39,137,3053.643977
7.47,83,3055.855305
8.08,85,3058.090896
-5.51,164,3062.643768
-6.19,196,3068.123985
7.41,107,3070.985361
5.43,170,3075.404142
6.41,135,3078.763422
6.63,110,3081.77009
5.93,129,3085.230207
-2.92,112,3088.238695
8.13,89,3090.524086
-4.45,193,3095.759489
-2.95,115,3100.99752
8.06,96,3103.390876
5.27,168,3108.101224
6.86,108,3111.17833
6.63,128,3114.537446
8.37,74,3116.427692
8.58,53,3117.832143
-4.85,170,3122.413153
8.7,59,3124.036498
-2.63,119,3127.288906
-4.06,190,3132.51953
7.04,93,3134.967964
8.81,57,3136.584935
6.04,127,3139.902705
7.44,95,3142.593914
6.1,121,3145.877345
7.36,112,3148.578053
6.94,91,3151.021192
-5.49,147,3155.038452
7.14,107,3159.832983
8.62,67,3161.55133
7.96,70,3163.421325
8.47,73,3165.452806
6.57,137,3169.226053
8.33,60,3170.827136
8.44,76,3172.896675
7.08,122,3176.27726
7.2,101,3179.113726
6.98,96,3181.629913
8.58,53,3183.246058
9.12,44,3184.400748
9.06,41,3185.518787
6.03,146,3189.675916
8.54,57,3191.366394
9.39,35,3192.375675
8.2,82,3194.744848
-6.25,196,3199.961505
6.29,93,3202.704816
8.67,80,3204.887665
8.41,79,3206.921752
7.44,95,3209.585275
9.25,31,3210.440472
8.11,73,3212.196619
7.57,118,3217.462851
6.55,139,3221.150922
8.11,76,3223.322606
8.4,80,3225.582269
7.48,82,3227.816939
7.87,106,3231.07258
7.36,103,3234.118159
8.08,94,3236.649614
7.08,113,3239.83314
8.89,58,3241.529916
8.55,83,3243.711054
7.21,109,3246.712403
8.43,77,3248.803681
8.45,75,3251.075795
7.71,104,3253.981244
6.87,89,3256.425296
9.12,53,3257.908936
9.02,45,3259.264401
-3.4,124,3262.766085
7.24,109,3265.882161
7.82,111,3269.006908
7.97,69,3270.836921
9.19,55,3272.419972
8.64,56,3275.876953
-3.37,139,3279.651006
8.64,56,3281.234122
9.02,45,3282.433396
-3.43,112,3285.432856
6.06,98,3288.028915
5.9,135,3291.744285
8.73,56,3293.488138
8.07,77,3295.391241
7.86,89,3297.837518
9.15,41,3299.098658
8.98,49,3300.55385
8.15,69,3302.494041
8.82,65,3304.059138
4.91,186,3308.964853
8.4,80,3311.044853
8.2,100,3313.844802
8.31,80,3315.893858
-2.91,120,3319.158064
5.52,122,3322.351424
6.05,147,3326.389165
8.23,70,3328.20867
8.1,101,3333.084916
6.76,118,3335.954105
8.93,45,3337.03178
8.46,92,3339.421889
7.7,87,3341.761637
9.5,33,3342.693276
8.83,49,3344.007596
7.94,90,3346.531945
7.67,99,3349.1896
7.45,112,3352.212644
7.01,156,3356.428711
8.46,56,3358.073388
8.98,49,3359.738266
-2.89,136,3363.681324
9.47,36,3364.704195
8.76,53,3366.159198
6.96,89,3368.387142
8.59,70,3370.08627
7.61,96,3372.741066
8.76,44,3373.877335
7.87,58,3375.483411
8.82,47,3376.678715
6.45,92,3379.413909
8.1,74,3381.506227
8.51,51,3382.863737
7.98,68,3384.793407
4.84,160,3391.232906
8.58,71,3393.195589
8.53,85,3395.454389
7.51,79,3397.595262
6.54,101,3400.462688
5.99,87,3402.705468
9.49,43,3404.030418
7.7,87,3406.378097
6.35,132,3409.96752
8.75,63,3411.782148
8.17,85,3414.406943
8.4,62,3416.264905
8.06,60,3417.793905
8.02,109,3420.97671
8.03,81,3423.290102
8.44,85,3425.59213
-2.45,47,3426.878705
8.15,87,3429.254833
7.0,82,3431.505242
8.29,64,3433.068279
8.96,60,3434.571464
9.0,65,3436.297901
6.53,90,3438.571029
9.31,34,3439.460505
7.68,80,3441.888239
7.21,127,3445.40847
7.88,78,3449.834677
8.44,52,3451.100813
8.27,66,3452.865431
7.9,79,3454.795619
8.62,67,3456.401767
7.65,92,3458.812823
7.64,84,3460.818551
8.23,106,3463.614794
8.83,37,3464.54787
8.73,74,3466.131583
8.24,87,3468.473426
9.4,43,3469.630254
8.72,48,3470.808402
8.58,62,3472.536052
7.66,94,3474.974301
8.27,93,3477.433518
9.34,31,3478.308948
8.32,79,3480.304542
8.5,52,3481.740638
8.68,61,3483.307511
8.31,71,3484.99297
6.37,109,3487.953222
7.72,67,3489.724894
7.85,72,3491.639667
5.51,141,3495.374995
8.1,74,3497.289442
7.19,96,3499.770353
9.18,38,3500.721785
8.98,58,3504.576195
8.85,35,3505.413429
9.64,37,3506.414618
9.55,37,3507.500734
7.44,68,3509.332931
8.12,90,3511.648683
7.89,71,3513.82258
7.81,121,3516.817153
7.68,80,3519.133459
7.42,91,3521.475369
8.31,80,3523.51431
8.42,78,3525.715175
7.97,57,3527.144756
9.23,51,3528.487195
-2.25,108,3531.253362
8.62,76,3533.233728
8.42,81,3535.336521
8.83,46,3536.503477
9.01,46,3537.668667
-3.05,143,3541.62081
8.63,69,3543.637252
8.46,74,3545.660288
8.14,97,3548.394354
